분야,질문명,등록일,답변제목,답변등록일,댓글등록일,댓글등록자,댓글내용
직업능력(센터·지역),직업능력개발 훈련비용 부정수급 처분대상 사망관련,2014-02-07 13:09:40.0,   [답변] 직업능력개발 훈련비용 부정수급 처분대상 사망관련,2014-02-11 09:58:46.0,,,
직업능력(센터·지역),직업능력개발 훈련비용 부정수급 처분대상 사망관련,2014-02-07 13:09:40.0,  [답변] 직업능력개발 훈련비용 부정수급 처분대상 사망관련,2014-02-12 09:43:24.0,,,
고용서비스(센터·관리),고액금품수령에 따른 지급유예와 관련하여,2014-02-13 19:03:22.0,[답변] 고액금품수령에 따른 지급유예와 관련하여,2014-02-14 10:20:27.0,,,
고용서비스(센터·관리),고액금품수령에 따른 지급유예와 관련하여,2014-02-13 19:03:22.0,[답변] 고액금품수령에 따른 지급유예와 관련하여,2014-02-14 17:10:47.0,,,
고용서비스(센터·관리),산전후휴가급여 대위 신청질의,2014-02-14 11:42:19.0,[답변] 산전후휴가급여 대위 신청질의,2014-02-17 15:26:21.0,,,
고용서비스(센터·관리),육아휴직 과오급 회수 관련 질의,2014-02-18 15:10:16.0, [답변] 육아휴직 과오급 회수 관련 질의,2014-02-19 10:43:42.0,,,
고용서비스(센터·관리), 징계해고(14)에 절차상 문제가 있을 시 직권으로 사유정정 가능여부,2014-02-26 09:30:12.0,  [답변]  징계해고(14)에 절차상 문제가 있을 시 직권으로 사유정정 가능여부,2014-02-26 11:45:46.0,,,
고용서비스(센터·관리), 징계해고(14)에 절차상 문제가 있을 시 직권으로 사유정정 가능여부,2014-02-26 09:30:12.0, [답변]  징계해고(14)에 절차상 문제가 있을 시 직권으로 사유정정 가능여부,2014-02-27 10:26:29.0,,,
고용서비스(센터·관리),통상임금 관련 문의입니다~,2014-03-12 16:13:50.0,[답변] 통상임금 관련 문의입니다~,2014-03-13 11:06:12.0,,,
고용서비스(센터·관리),취소처분에 대한 철회요청 관련입니다~,2014-03-12 16:26:00.0,[답변] 취소처분에 대한 철회요청 관련입니다~,2014-03-13 11:07:07.0,,,
고용서비스(센터·관리),근로자성 판단,2014-03-14 15:05:49.0, [답변] 근로자성 판단,2014-03-17 13:48:49.0,,,
고용서비스(센터·관리),적용제외근로자와 일용근로내역 취소건에 대한 문의,2014-03-14 18:52:52.0,[답변] 적용제외근로자와 일용근로내역 취소건에 대한 문의,2014-03-17 11:09:38.0,,,
통합고용(센터·지역·근로),직장보육시설 지원 관련,2014-03-21 09:53:54.0, [답변] 직장보육시설 지원 관련,2014-03-24 10:52:29.0,,,
고용서비스(센터·관리),식대 교통비 통상임금 문의~,2014-03-21 15:30:20.0,,,,,
고용서비스(센터·관리),모성보호급여 부정수급자 추가징수금액 감경 처리,2014-03-31 17:40:33.0, [답변] 모성보호급여 부정수급자 추가징수금액 감경 처리,2014-04-01 13:36:13.0,,,
고용서비스(센터·관리),연봉제상에서의 통상임금 ,2014-05-07 14:24:32.0, [답변] 연봉제상에서의 통상임금 ,2014-05-08 10:17:23.0,,,
통합고용(센터·지역·근로),정규직전환지원금 부정수급시 반환 범위,2014-05-19 16:47:03.0,[답변] 정규직전환지원금 부정수급시 반환 범위,2014-05-20 13:37:16.0,,,
청년고용(센터·지역·관리),청년인턴 사업장 부정수급 처분시 인턴생에게 지급한 지원금 환수여부,2014-05-19 16:55:58.0,,,,,
고용서비스(센터·관리),수급자격 문의,2014-05-22 08:51:51.0,[답변] 수급자격 문의,2014-05-22 14:40:47.0,,,
고용서비스(센터·관리),시간외 수당 관련~,2014-05-26 18:45:15.0, [답변] 시간외 수당 관련~,2014-05-28 14:45:36.0,,,
통합고용(센터·지역·근로),고령자고용연장(정년퇴직자재고용) 지원금 정년규정에 대하여,2014-05-28 11:31:45.0,[답변] 고령자고용연장(정년퇴직자재고용) 지원금 정년규정에 대하여,2014-05-29 14:17:59.0,,,
고용서비스(센터·관리),수급자격 인정 신청서 처리기한,2014-05-29 17:26:44.0, [답변] 수급자격 인정 신청서 처리기한,2014-05-30 11:12:09.0,,,
통합고용(센터·지역·근로),대체인력지원금에서 새로고용의 의미,2014-06-02 10:35:29.0,[답변] 대체인력지원금에서 새로고용의 의미,2014-06-02 13:55:46.0,,,
통합고용(센터·지역·근로),출산육아기 계속고용지원금 관련,2014-06-23 14:26:36.0,[답변] 출산육아기 계속고용지원금 관련,2014-06-26 11:04:59.0,,,
통합고용(센터·지역·근로),육아기 단축 근로자에 대한 대체인력지원금,2014-06-26 10:56:40.0,[답변] 육아기 단축 근로자에 대한 대체인력지원금,2014-06-30 16:04:08.0,,,
고용서비스(센터·관리),수급자격판단 시 농업경영체 등록증,2014-07-29 15:54:37.0, [답변] 수급자격판단 시 농업경영체 등록증,2014-07-30 11:50:46.0,,,
노동시장(센터·지역),고용창출(환경개선사업) 증가근로자 산정,2014-07-30 10:33:11.0, [답변] 고용창출(환경개선사업) 증가근로자 산정,2014-07-30 15:12:45.0,,,
노동시장(센터·지역),고용환경개선 관련 질의입니다.,2014-09-17 10:29:19.0,[답변] 고용환경개선 관련 질의입니다.,2014-09-18 10:14:39.0,,,
통합고용(센터·지역·근로),임금피크제에 관하여..,2014-09-19 10:20:06.0,[답변] 임금피크제에 관하여..,2014-09-22 17:09:41.0,,,
노동시장(센터·지역),환경개선 관련 질의입니다.,2014-10-01 17:10:02.0,[답변] 환경개선 관련 질의입니다.,2014-10-06 15:21:28.0,,,
고용서비스(센터·관리),시간선택제 급여계산,2014-10-06 17:46:12.0,  [답변] 시간선택제 급여계산,2014-10-08 16:09:44.0,,,
노동시장(센터·지역),급여 현금 지급시,2014-10-17 17:33:33.0,[답변] 급여 현금 지급시,2014-10-22 09:57:33.0,,,
고용서비스(센터·관리),취업일자는 언제가 되나요,2014-12-15 17:17:09.0,[답변] 취업일자는 언제가 되나요,2014-12-18 10:33:15.0,,,
노동시장(센터·지역),직업안정법 제34조와 채용공정화에 관한 법률 제4조와의 관계,2014-12-17 10:10:05.0, [답변] 직업안정법 제34조와 채용공정화에 관한 법률 제4조와의 관계,2014-12-18 11:18:08.0,,,
통합고용(센터·지역·근로),출산휴가급여에 대해서 문의드립니다. ,2014-12-18 16:54:28.0,[답변] 출산휴가급여에 대해서 문의드립니다. ,2014-12-23 11:09:24.0,,,
직업능력(센터·지역),근로자직업능력 개발법 위반 부정수급 반환금 소멸시효 질의,2015-01-05 15:12:04.0, [답변] 근로자직업능력 개발법 위반 부정수급 반환금 소멸시효 질의,2015-01-06 12:36:57.0,,,
고용서비스(센터·관리),부정수급처분 일사부재리 원칙이 적용여부,2015-01-20 14:19:29.0,      [답변] 부정수급처분 일사부재리 원칙이 적용여부,2015-01-20 15:59:08.0,,,
고용서비스(센터·관리),대학시간강사 고용보험 상실신고 기준,2015-02-05 13:57:28.0,[답변] 대학시간강사 고용보험 상실신고 기준,2015-02-06 17:31:20.0,,,
고용서비스(센터·관리),사회복지법인 지부장 근로자성 판단,2015-02-10 14:46:15.0,[답변] 사회복지법인 지부장 근로자성 판단,2015-02-11 11:10:07.0,,,
고용서비스(센터·관리),통상임금 문의입니다.,2015-02-25 10:37:25.0, [답변] 통상임금 문의입니다.,2015-02-25 16:27:35.0,,,
고용서비스(센터·관리),조기재취업수당 지급 여부?,2015-03-05 10:10:47.0, [답변] 조기재취업수당 지급 여부?,2015-03-05 15:02:18.0,,,
노동시장(센터·지역),근로내용확인 지연신고 관련 과태료 일괄부과 문제,2015-04-09 16:15:35.0,,,,,
고용서비스(센터·관리),모성보호 부정수급 고발대상 문의,2015-04-10 10:40:10.0,  [답변] 모성보호 부정수급 고발대상 문의,2015-04-14 14:56:11.0,,,
고용서비스(센터·관리),일소정근로시간 산정 방법문의,2015-05-19 20:41:57.0,[답변] 일소정근로시간 산정 방법문의,2015-05-20 14:38:37.0,,,
고용서비스(센터·관리),채용절차공정화에 관한 법률 적용 여부 질의,2015-05-20 08:37:16.0,[답변] 채용절차공정화에 관한 법률 적용 여부 질의,2015-05-20 15:15:07.0,,,
노동시장(센터·지역),휴업계획신고(고용조정이 불가피하게된 사업주의 매출액 비교)관련 입니다,2015-06-17 11:26:32.0, [답변] 휴업계획신고(고용조정이 불가피하게된 사업주의 매출액 비교)관련 입니다,2015-06-18 10:24:51.0,,,
고용서비스(센터·관리),고용보험법시행규칙 108조(관련사업주의 범위) 해당여부,2015-07-20 17:47:38.0,    [답변] 고용보험법시행규칙 108조(관련사업주의 범위) 해당여부,2015-07-21 14:24:56.0,,,
고용서비스(센터·관리),사업주 자녀의 근로자성 판단,2015-08-28 09:23:25.0,  [답변] 사업주 자녀의 근로자성 판단,2015-08-28 09:42:26.0,,,
통합고용(센터·지역·근로),고용보험법 제72조 질의,2015-09-22 13:21:00.0,[답변] 고용보험법 제72조 질의,2015-09-24 09:55:54.0,,,
노동시장(센터·지역),A사업장의 고용촉진지원금신청관련 감원방지기간 적용문제,2015-10-07 13:58:35.0,  [답변] A사업장의 고용촉진지원금신청관련 감원방지기간 적용문제,2015-10-08 11:04:47.0,,,
고용서비스(센터·관리),노동위원회 화해조서와 계약만료코드,2015-10-16 17:10:23.0,[답변] 노동위원회 화해조서와 계약만료코드,2015-10-20 13:31:12.0,,,
고용서비스(센터·관리),자활근로참여자(차상위계층) 실업급여 문의,2015-11-11 14:20:31.0, [답변] 자활근로참여자(차상위계층) 실업급여 문의,2015-11-16 14:10:05.0,,,
고용서비스(센터·관리),육아휴직급여와 고용보험법 소멸시효의 관계 질의,2015-11-13 10:35:47.0, [답변] 육아휴직급여와 고용보험법 소멸시효의 관계 질의,2015-11-16 14:32:12.0,,,
노동시장(센터·지역),휴업규모율 산정기준월(신규사업장의 경우),2015-11-17 17:52:19.0,[답변] 휴업규모율 산정기준월(신규사업장의 경우),2015-11-19 13:20:24.0,,,
고용서비스(센터·관리),일소정근로시간 문의합니다,2015-12-04 11:26:44.0,  [답변] 일소정근로시간 문의합니다,2015-12-07 14:16:36.0,,,
고용서비스(센터·관리),단시간근로자의 피보험단위기간,2015-12-15 10:49:32.0,[답변] 단시간근로자의 피보험단위기간,2015-12-16 16:37:49.0,,,
고용서비스(센터·관리),「생업을 목적으로」여부의 판단 기준,2015-12-21 17:44:32.0,  [답변] 「생업을 목적으로」여부의 판단 기준,2015-12-22 11:34:12.0,,,
통합고용(센터·지역·근로),출산육아기 부정수급관련 문의,2016-01-12 16:01:44.0,[답변] 출산육아기 부정수급관련 문의,2016-01-13 17:05:34.0,,,
고용서비스(센터·관리),상시근로자 증가 해석에 관한 질의 드립니다. ,2016-01-15 14:50:35.0,[답변] 상시근로자 증가 해석에 관한 질의 드립니다. ,2016-01-18 11:37:04.0,,,
고용서비스(센터·관리),1일소정근로시간 문의드립니다.,2016-01-22 15:09:52.0,[답변] 1일소정근로시간 문의드립니다.,2016-01-26 09:57:07.0,,,
고용서비스(센터·관리),은행 지점장의 근로자성 여부에 관한 질의,2016-02-15 09:42:27.0, [답변] 은행 지점장의 근로자성 여부에 관한 질의,2016-02-16 10:22:00.0,,,
고용서비스(센터·관리),과태료 제척기간,2016-03-03 11:34:36.0, [답변] 과태료 제척기간,2016-03-04 15:07:52.0,,,
고용서비스(센터·관리),취득신고 과태료 부과 제척기간,2016-04-08 14:03:23.0,[답변] 취득신고 과태료 부과 제척기간,2016-04-08 15:35:04.0,,,
고용서비스(센터·관리),실업급여 수급자격-임금체불로 인한 이직,2016-06-23 10:50:03.0, [답변] 실업급여 수급자격-임금체불로 인한 이직,2016-06-24 14:39:17.0,,,
고용서비스(센터·관리),기술용역계약 일반조건 문의,2016-06-27 18:17:44.0,  [답변] 기술용역계약 일반조건 문의,2016-06-28 10:02:21.0,,,
고용서비스(센터·관리),1일소정근로시간 및 주휴시간 문의,2016-07-27 11:47:45.0,[답변] 1일소정근로시간 및 주휴시간 문의,2016-07-28 09:39:16.0,,,
노동시장(센터·지역),고용촉진지원금 지급 관련 근로계약서 ,2016-08-10 16:52:55.0,[답변] 고용촉진지원금 지급 관련 근로계약서 ,2016-08-11 14:33:05.0,,,
고용서비스(센터·관리),공무원시험에 합격 후 실업급여 신청(수급 및 조기),2016-11-07 16:48:30.0,[답변] 공무원시험에 합격 후 실업급여 신청(수급 및 조기),2016-11-08 13:22:08.0,,,
고용서비스(센터·관리),고용보험 상실사유에 대하여 문의드립니다,2017-02-03 12:06:46.0,    [답변] 고용보험 상실사유에 대하여 문의드립니다,2017-02-10 09:30:05.0,,,
고용서비스(센터·관리),조기재취업 수당(최종이직 사업주),2017-02-20 16:51:59.0, [답변] 조기재취업 수당(최종이직 사업주),2017-02-22 10:33:29.0,,,
고용서비스(센터·관리),과태료 정식부과 관련 궁금한 것이 있습니다.,2017-03-09 15:02:50.0,[답변] 과태료 정식부과 관련 궁금한 것이 있습니다.,2017-03-10 14:34:21.0,,,
고용서비스(센터·관리),과태료 정식부과 관련 궁금한 것이 있습니다.,2017-03-09 15:02:50.0,   [답변] 과태료 정식부과 관련 궁금한 것이 있습니다.,2017-03-10 15:52:20.0,,,
고용서비스(센터·관리),실업급여 수급자격 가능여부 문의 드립니다.,2017-03-21 17:26:45.0,[답변] 실업급여 수급자격 가능여부 문의 드립니다.,2017-03-22 11:13:22.0,,,
고용서비스(센터·관리),실업급여 수급자격 가능여부 문의 드립니다.,2017-03-21 17:26:45.0,    [답변] 실업급여 수급자격 가능여부 문의 드립니다.,2017-03-23 17:43:30.0,,,
고용서비스(센터·관리),과태료 위반행위 발생일 및 부과기준 적용 관련 질문,2017-04-05 17:24:48.0,     [답변] 과태료 위반행위 발생일 및 부과기준 적용 관련 질문,2017-04-06 17:45:46.0,,,
고용서비스(센터·관리),실업급여 부정수급 관련 구직급여 일액,2017-04-26 13:04:38.0,     [답변] 실업급여 부정수급 관련 구직급여 일액,2017-04-26 17:29:46.0,,,
고용서비스(센터·관리),신규발급한 사업장 내국인권고사직시 질문입니다.,2017-05-16 18:59:28.0,[답변] 신규발급한 사업장 내국인권고사직시 질문입니다.,2017-05-17 14:57:29.0,,,
고용서비스(센터·관리),"인터넷실업 인정, 부정수급 여부",2017-05-18 18:01:46.0,"[답변] 인터넷실업 인정, 부정수급 여부",2017-05-19 14:11:03.0,,,
고용서비스(센터·관리),배우자와의 동거를 위한 거주지 변경 ,2017-05-19 14:56:04.0, [답변] 배우자와의 동거를 위한 거주지 변경 ,2017-05-23 14:00:09.0,,,
고용서비스(센터·관리),상용+일용이 혼재되어있는 경우 조기재취업수당 지급문의드립니다.,2017-05-19 16:05:13.0, [답변] 상용+일용이 혼재되어있는 경우 조기재취업수당 지급문의드립니다.,2017-05-23 14:27:24.0,,,
고용서비스(센터·관리),수급기간 연기와 관련하여 문의 드립니다.,2017-05-23 19:16:26.0,[답변] 수급기간 연기와 관련하여 문의 드립니다.,2017-05-24 15:46:04.0,,,
고용서비스(센터·관리),음주운전으로 운전면허가 취소된 경우 수급자격 여부 문의 드립니다.,2017-06-12 19:30:25.0, [답변] 음주운전으로 운전면허가 취소된 경우 수급자격 여부 문의 드립니다.,2017-06-13 15:41:09.0,,,
고용서비스(센터·관리),대리운전자 실업급여 ,2017-06-13 11:41:16.0, [답변] 대리운전자 실업급여 ,2017-06-13 15:58:50.0,,,
고용서비스(센터·관리),수급자격 여부 문의 드립니다.,2017-06-19 19:28:54.0,[답변] 수급자격 여부 문의 드립니다.,2017-06-20 14:57:55.0,,,
고용서비스(센터·관리),육아휴직 중 타사업장 교육,2017-06-27 11:26:19.0, [답변] 육아휴직 중 타사업장 교육,2017-06-28 15:37:41.0,,,
고용서비스(센터·관리),"고용보험법 제108조, 제109조 관련 문의",2017-06-28 10:28:45.0," [답변] 고용보험법 제108조, 제109조 관련 문의",2017-06-29 09:03:15.0,,,
고용서비스(센터·관리),실업급여 수급자격 문의드립니다,2017-07-04 12:43:57.0,[답변] 실업급여 수급자격 문의드립니다,2017-07-04 14:42:37.0,,,
고용서비스(센터·관리),실업급여 수급문의,2017-07-04 17:03:21.0,[답변] 실업급여 수급문의,2017-07-05 11:12:09.0,,,
고용서비스(센터·관리),사업장이전으로 인한 실업급여 수급자격 관련 문의,2017-07-17 20:21:45.0,      [답변] 사업장이전으로 인한 실업급여 수급자격 관련 문의,2017-07-18 14:24:28.0,,,
고용서비스(센터·관리),수급자격 여부 문의 드립니다.,2017-07-18 20:03:27.0, [답변] 수급자격 여부 문의 드립니다.,2017-07-20 09:49:26.0,,,
고용서비스(센터·관리),원직복직 판결 후 실업급여 반환청구 소멸시효 및 회수센터 ?,2017-07-24 17:23:17.0,[답변] 원직복직 판결 후 실업급여 반환청구 소멸시효 및 회수센터 ?,2017-07-25 16:42:31.0,,,
고용서비스(센터·관리),배우자 동거와 관련하여 수급자격 인정여부 문의드립니다.,2017-07-25 19:00:44.0, [답변] 배우자 동거와 관련하여 수급자격 인정여부 문의드립니다.,2017-07-26 14:40:32.0,,,
고용서비스(센터·관리),"부하직원의 허위서류 제출, 사업주 책임",2017-08-01 14:01:06.0,"  [답변] 부하직원의 허위서류 제출, 사업주 책임",2017-08-01 16:19:36.0,,,
고용서비스(센터·관리),수급자격 판단 문의드립니다.,2017-08-18 16:07:31.0,     [답변] 수급자격 판단 문의드립니다.,2017-08-23 13:13:33.0,,,
고용서비스(센터·관리),배우자와의 동거를 위한 거소이전 관련 수급자격 문의드립니다,2017-09-01 09:29:24.0, [답변] 배우자와의 동거를 위한 거소이전 관련 수급자격 문의드립니다,2017-09-01 14:38:51.0,,,
고용서비스(센터·관리),채용약속된 사업장이 있음에도 없다 하고 실업급여를 신청하여 받은 경우,2017-09-01 16:47:26.0,[답변] 채용약속된 사업장이 있음에도 없다 하고 실업급여를 신청하여 받은 경우,2017-09-04 14:37:25.0,,,
통합고용(센터·지역·근로),정년이 55세인지 56세인지 여부,2017-09-04 18:53:14.0,  [답변] 정년이 55세인지 56세인지 여부,2017-09-05 10:48:58.0,,,
고용서비스(센터·관리),4대보험 적용받던 학원강사가 개인사업자로 전환된후 근무중 퇴사한 경우,2017-09-12 09:56:06.0,[답변] 4대보험 적용받던 학원강사가 개인사업자로 전환된후 근무중 퇴사한 경우,2017-09-12 13:10:09.0,,,
고용서비스(센터·관리),육아휴직수당 부정수급자의 사후(잔여)지급금,2017-09-12 10:16:46.0, [답변] 육아휴직수당 부정수급자의 사후(잔여)지급금,2017-09-13 09:57:11.0,,,
고용서비스(센터·관리),사업자등록자(부동산임대) 실업급여 부정수급 처분 여부 궁금합니다.,2017-09-21 15:18:05.0, [답변] 사업자등록자(부동산임대) 실업급여 부정수급 처분 여부 궁금합니다.,2017-09-22 15:20:25.0,,,
고용서비스(센터·관리),직업안정법 위반에 따른 사업정지 범위에 대한 문의입니다.,2017-09-26 15:16:58.0, [답변] 직업안정법 위반에 따른 사업정지 범위에 대한 문의입니다.,2017-09-28 09:29:30.0,,,
고용서비스(센터·관리),수급자격 여부 문의 드립니다.,2017-09-29 16:03:52.0, [답변] 수급자격 여부 문의 드립니다.,2017-10-10 15:33:55.0,,,
고용서비스(센터·관리),실업급여 부정수급 여부,2017-10-17 18:25:29.0,[답변] 실업급여 부정수급 여부,2017-10-18 14:33:08.0,,,
고용서비스(센터·관리),일용직 조기재취업수당 가능 여부 문의 드립니다.,2017-10-24 14:03:16.0, [답변] 일용직 조기재취업수당 가능 여부 문의 드립니다.,2017-10-24 16:16:07.0,,,
고용서비스(센터·관리),일용직 조기재취업수당 가능 여부 문의 드립니다.,2017-10-24 14:03:16.0,[답변] 일용직 조기재취업수당 가능 여부 문의 드립니다.,2017-10-24 16:56:17.0,,,
고용서비스(센터·관리),국외유료직업소개소 등록요건 관련 문의입니다.,2017-10-26 11:31:01.0, [답변] 국외유료직업소개소 등록요건 관련 문의입니다. ,2017-10-26 15:02:48.0,,,
고용서비스(센터·관리),실업급여 수급자격 문의드립니다. (인사발령),2017-10-26 14:35:17.0,  [답변] 실업급여 수급자격 문의드립니다. (인사발령),2017-10-26 15:30:40.0,,,
고용서비스(센터·관리),직업안정법 위반 문의드립니다,2017-10-30 10:58:01.0,  [답변] 직업안정법 위반 문의드립니다,2017-10-31 12:28:25.0,,,
고용서비스(센터·관리),직업안정법 위반 문의드립니다,2017-10-30 10:58:01.0,   [답변] 직업안정법 위반 문의드립니다,2017-10-31 13:58:56.0,,,
고용서비스(센터·관리),실업급여 수급자격 문의( 주소이전) ,2017-11-03 15:05:58.0,[답변] 실업급여 수급자격 문의( 주소이전) ,2017-11-06 10:41:05.0,,,
고용서비스(센터·관리),거짓구인광고의 범위,2017-11-29 15:44:43.0,  [답변] 거짓구인광고의 범위 ,2017-11-29 17:33:08.0,,,
고용서비스(센터·관리),4인이하 사업장에서 근로시간초과로 퇴사시 수급자격 인정여부,2017-12-04 16:19:24.0,[답변] 4인이하 사업장에서 근로시간초과로 퇴사시 수급자격 인정여부,2017-12-05 10:11:05.0,,,
고용서비스(센터·관리),월급제 이사 조기재취업수당 대상 여부 문의,2017-12-04 17:31:37.0,[답변] 월급제 이사 조기재취업수당 대상 여부 문의,2017-12-05 10:18:28.0,,,
고용서비스(센터·관리),수급 중 취업하였다가 만료일 이전 재실업경우 수급자격 문의드립니다.,2017-12-13 10:40:29.0, [답변] 수급 중 취업하였다가 만료일 이전 재실업경우 수급자격 문의드립니다.,2017-12-14 11:22:12.0,,,
고용서비스(센터·관리),근로자공급 사업관련 문의드립니다.,2017-12-14 11:32:51.0,[답변] 근로자공급 사업관련 문의드립니다. ,2017-12-14 15:29:35.0,,,
고용서비스(센터·관리),출산육아기 고용안정 지원금(대체인력) 대상자의 최저임금 미달 등,2017-12-20 10:23:07.0,   [답변] 출산육아기 고용안정 지원금(대체인력) 대상자의 최저임금 미달 등,2017-12-20 16:26:38.0,,,
고용서비스(센터·관리),수급자격 인정 관련 문의입니다.,2018-01-02 16:37:38.0,  [답변] 수급자격 인정 관련 문의입니다.,2018-01-04 13:38:25.0,,,
노동시장(센터·지역),장려금 지원요건을 위하여 등,2018-01-10 09:12:52.0,  [답변] 장려금 지원요건을 위하여 등,2018-01-10 16:22:00.0,,,
고용서비스(센터·관리),직업정보제공업의 플랫폼에 더해지는 성공보수 문의 ,2018-01-16 16:02:41.0, [답변] 직업정보제공업의 플랫폼에 더해지는 성공보수 문의 ,2018-01-17 12:19:16.0,,,
고용서비스(센터·관리),수급자격 여부 문의 드립니다.,2018-03-02 16:15:12.0,[답변] 수급자격 여부 문의 드립니다.,2018-03-06 10:44:12.0,,,
고용서비스(센터·관리),수급자격 여부 문의 드립니다.,2018-03-08 17:19:12.0, [답변] 수급자격 여부 문의 드립니다.,2018-03-09 16:08:32.0,,,
노동시장(센터·지역)," 지원제한사유인 1년이내 재고용된 동일사업주, 관련사업주 관련 판단 ",2018-03-09 12:28:17.0,"[답변]  지원제한사유인 1년이내 재고용된 동일사업주, 관련사업주 관련 판단 ",2018-03-12 16:16:29.0,,,
고용서비스(센터·관리),무료직업소개 사업등록 관련문의,2018-03-28 10:25:33.0,답,2018-03-28 11:27:08.0,,,
고용서비스(센터·관리),인터넷 개인방송 수급자격 문의드립니다!,2018-04-03 17:58:05.0,답,2018-04-05 12:10:58.0,,,
고용서비스(센터·관리),수급자격여부 문의 드립니다.,2018-04-04 14:05:11.0,답,2018-04-05 13:12:02.0,,,
직업능력(센터·지역),직업훈련수강생의 제적적용여부,2018-04-20 12:18:17.0,답,2018-04-23 10:33:10.0,,,
고용서비스(센터·관리),수수료의 성격(알선료 혹은  정보제공에 대한 대가?) 문의,2018-04-30 13:21:24.0,답,2018-05-01 08:45:38.0,,,
고용서비스(센터·관리),주52시간 초과근로로 수급자격 문의드립니다,2018-05-11 09:12:51.0,?,2018-05-11 17:46:31.0,,,
고용서비스(센터·관리),주52시간 초과근로로 수급자격 문의드립니다,2018-05-11 09:12:51.0,답,2018-05-14 10:49:41.0,,,
고용서비스(센터·관리),일용근로자 해당 여부,2018-05-11 18:00:27.0,답,2018-05-14 13:15:37.0,,,
고용서비스(센터·관리),일용근로자 해당 여부,2018-05-11 18:00:27.0,답,2018-05-15 10:02:12.0,,,
고용서비스(센터·관리),유급 자원봉사자의 실업인정 문의,2018-05-20 19:34:44.0,답,2018-05-24 09:11:37.0,,,
고용서비스(센터·관리),수급자격 여부 문의 드립니다.,2018-05-28 14:34:08.0,답,2018-05-28 15:33:03.0,,,
고용서비스(센터·관리),국외유료직업소개사업 실적과 폐업관련 질문,2018-05-31 10:52:41.0,답,2018-05-31 13:05:05.0,,,
고용서비스(센터·관리),채용대기 시간에 대한 해석 부탁드립니다.,2018-05-31 10:57:19.0,답,2018-05-31 13:09:21.0,,,
고용서비스(센터·관리),국외직업소개사업 실적과 사업정지관련,2018-06-07 12:33:11.0,답,2018-06-07 14:29:30.0,,,
고용서비스(센터·관리),(부정수급)발생통계원표 작성 시 문제입니다,2018-06-07 14:50:01.0,답,2018-06-11 09:05:46.0,,,
고용서비스(센터·관리),통상임금 해당 여부 문의입니다,2018-06-20 10:10:46.0,답,2018-06-20 16:40:31.0,,,
직업능력(센터·지역),[근로자카드발급] 기간제 근로자임을 증명할 수 있는 서류는....?,2018-06-26 10:21:35.0,답,2018-06-27 14:31:24.0,,,
고용서비스(센터·관리),직업안정법 행정처분기준(제42조 관련) 문의,2018-06-27 08:41:59.0,답,2018-06-27 15:09:00.0,,,
고용서비스(센터·관리),조기재취업수당과 관련하여 문의 드립니다.,2018-06-27 15:38:08.0,답,2018-06-28 10:06:38.0,,,
고용서비스(센터·관리),각 사업장의 대표가 부부관계일 때 두 사업장의 관계,2018-07-05 09:40:47.0,답,2018-07-06 09:15:58.0,,,
고용서비스(센터·관리),수급자격여부 문의드립니다,2018-07-09 09:15:29.0,답,2018-07-09 13:18:30.0,,,
통합고용(센터·지역·근로),건설일용직 근로자 정년 제한 관련 문의,2018-07-11 14:36:18.0,답,2018-07-11 14:58:30.0,,,
고용서비스(센터·관리),자원봉사자 취업 여부 문의,2018-07-13 15:23:18.0,답,2018-07-16 12:03:09.0,,,
고용서비스(센터·관리),직업안정법 제 28조 34조 41조 관련 질문입니다.,2018-07-19 10:04:02.0,답,2018-07-24 11:24:42.0,,,
고용서비스(센터·관리),상여금의 통상임금 해당 여부,2018-07-19 21:13:15.0,답,2018-07-23 17:18:49.0,,,
고용서비스(센터·관리),이직확인서 정정관련 과태료 문의 드립니다.,2018-07-31 13:45:32.0,답,2018-08-03 10:47:56.0,,,
고용서비스(센터·관리),수급자격 여부 문의입니다.(근로조건변동),2018-08-02 09:33:25.0,답,2018-08-03 10:58:20.0,,,
노동시장(센터·지역),고용유지지원금 문의드립니다,2018-08-03 13:30:39.0,답,2018-08-06 10:43:02.0,,,
노동시장(센터·지역),고용유지지원금과 일자이안정자금 중복지원 여부 문의드립니다,2018-08-09 10:24:46.0,답,2018-08-16 14:32:56.0,,,
고용서비스(센터·관리),수급자격여부 문의드립니다.(구속 수감),2018-08-21 10:36:49.0,해결 방안,2018-08-22 10:23:32.0,,,
고용서비스(센터·관리),직업정보제공사업과 교육생 모집관련 질문입니다.,2018-08-21 13:14:27.0,의견,2018-08-21 17:15:17.0,,,
고용서비스(센터·관리),장기 휴업 자영업자의 매출액 감소 수급자격 요건,2018-08-21 16:46:18.0,해결 방안,2018-08-23 11:15:03.0,,,
고용서비스(센터·관리),자영업자와 근로자 실업급여 문의,2018-08-23 09:54:42.0,이중취득자?,2018-08-23 12:02:20.0,,,
고용서비스(센터·관리),조기재취업수당 - 관련 사업주의 범위 (양도양수),2018-08-23 17:33:10.0,양도 양수 관계에 있다고 보아야합니다.,2018-08-24 09:03:34.0,,,
고용서비스(센터·관리),고용보험법위반 과태료징수.,2018-08-29 14:37:36.0,해결 방안,2018-08-29 16:38:52.0,,,
