분야,질문명,등록일,답변제목,답변등록일,댓글등록일,댓글등록자,댓글내용
신고사건(감독),주휴수당 문의,2021-05-10 22:02:17.0,주휴수당 지급의무 없다는 것이 우리부 행정해석입니다.,2021-05-11 17:13:53.0,2021-05-11 18:03:45.0,,"고용노동부 인터넷 답변 첨부드립니다. 

- 월급제 근로자가 월의 도중에 입사할 경우 임금 계산방법에 대해서는 법령상 특별한 규정이 없으며, 이 경우 입사전 소정근로시간을 정상적으로 근로한 경우에는 월급액을 해당월의 역일수로 나누어 계산하는 것이 일반적인 방법이나, 그 외에도 월급액에 소정근로일(근로일이나 유급으로 처리되는 날 포함)을 나누어 근로일수(근로일이 아니나 유급으로 처리되는 날 포함)를 곱하여 산정할 수도 있습니다.

- 이때, 사업장의 취업규칙 등에서 일정일을 주휴일로 지정한 경우에 주의 도중에 입사한 근로자가 입사후 소정근로일을 개근하였다면 입사후 처음 도래하는 주휴일을 유급으로 부여하는 것이 바람직할 것이나 입사후 1주간(7일)을 채우지 못하였으므로 이를 무급으로 부여하더라도 법 위반이라 할 수는 없을 것이며, 입사일을 기준으로 1주일에 평균 1회 이상의 주휴일을 부여하지 않는다면 이를 정산하여 추가로 유급휴일을 부여하여야 할 것입니다.


상기 내용대로라면 회사가 일정 요일을 시작점으로 정했더라도 사례와 같이 1주일을 다 채워서 근무했다면 입사일을 기준으로 1개의 주휴를 부여하여 정산하여야 할 것 같습니다. 

"
신고사건(감독),주휴수당 문의,2021-05-10 22:02:17.0,1설에 따라 주휴수당을 지급해야 한다고 봅니다,2021-05-12 12:57:41.0,2021-05-14 09:28:46.0,,"아래의 의견에 대해 추가적으로 의견을 남깁니다. 

- 일요일을 주휴일로 특정했다는 의미를, 단위기간의 시점과 종점을 정했다고 볼 수는 없는 노릇입니다. 단지 주휴일이 일요일일 뿐입니다. 마찬가지로 예컨대 수요일을 주휴일로 정했다는 의미를 그 전 주 목요일부터 화요일까지를 단위기간으로 결정한 것으로 해석할 이유도 없습니다. 거듭 주장하는 바 1주간 소정근로일로 정해진 날을 개근했는지만을 판단하면 됩니다. 

- 또한 근로계약이나 취업규칙 등의 해석상 개근여부 또는 주휴일의 판단 시점이 해당 주의 월요일이라고 객관적으로 볼 수 있을 경우에도 이미 언급하였다시피 근로기준법에 반하지 않는 범위 내에서 제한적으로만 유효합니다. 따라서 이 경우에도 중도입사하고 중도퇴사자에게는 1주간 개근을 했다면 주휴수당이 발생합니다. 

- 주휴수당의 발생요건은 ①1주간 ②소정근로일의 개근입니다. 
해당사례에서 1주 이상을 계속 근무하였음은 명확하고, 그 1주간의 소정근로일인 월~금을 결근없이 근무하였습니다. 단지 월요일~금요일이 아니라 목요일~수요일까지의 순서만이 차이가 있습니다. 월~금이 소정근로일이란 의미는 월, 화, 수, 목, 금요일이 소정근로일이란 의미에 지나지 않습니다.  따라서 주휴수당의 발생요건을 모두 충족하였기에 1주의 중간에 부여한 일요일은 유급주휴일이 됩니다. "
신고사건(감독),주휴수당 문의,2021-05-10 22:02:17.0,1설에 따라 주휴수당을 지급해야 한다고 봅니다,2021-05-12 12:57:41.0,2021-05-14 09:07:27.0,,"ㅇ 사업장이 1주(7일)의 정의 규정을 명확히 정하여 규범으로 시행하는 경우가 현행 법을 명백히 위반하는 것이라면 당연히 무효로 보고 법에 따른 지도를 하면 되는 것이지만, 

  - 그러한 것이 아님에도 법을 오히려 확대 해석해서 사업주에게 또다른 의무를 부과하는 것은 직원남용 행위로 오해받을 수 있고, 헌법상의 과잉금지원칙에 비추어봐도 어긋나는 것으로 사료됩니다. 끝."
신고사건(감독),주휴수당 문의,2021-05-10 22:02:17.0,1설에 따라 주휴수당을 지급해야 한다고 봅니다,2021-05-12 12:57:41.0,2021-05-13 15:30:56.0,,"아래의 의견에 대해 추가적으로 의견을 남깁니다. 

- 근로기준법은 주휴일에 대한 규정을 1주(7일)라고만 규정하고 있을 뿐입니다. 개별 사업장에서 노무관리의 편의상 단위기간의 시점과 종점을 정할 수는 있습니다. 그러나 그러할 경우에도 원칙적으로 근로기준법에 반할 수 없다는 제한을 받습니다. 

- 월요일부터 금요일까지를 소정근로일로 하고 주휴일을 일요일로 한다는 의미의 해석을 월요일을 시점으로 하여 일요일까지를 종점으로 하는 경우만으로 한정하고, 예컨대 화요일을 시점으로 하여 다음주 월요일까지의 경우에는 제외한다는 의미로 해석한다면 법문의 내용인 1주와 소정근로일의 의미를 과도하게 제한하여 해석한다고 저는 생각합니다. 

- 사례의 근로자는 특혜를 요구한다고 보기는 어렵다고 판단되며, 근로기준법에 따른 주휴수당을 요구하는 행위로 보아야 할 것이라 저는 생각됩니다. "
신고사건(감독),주휴수당 문의,2021-05-10 22:02:17.0,1설에 따라 주휴수당을 지급해야 한다고 봅니다,2021-05-12 12:57:41.0,2021-05-13 15:00:26.0,,"ㅇ 1주라는 단위기간이 특정되지 않은 상태에서는 당연히 입사일을 기산일로 1주기간 중에 어느날을 주휴일로 특정하든지 소정근로일에 개근하면 당연히 유급주휴일을 부여해야 합니다.  

  - 하지만, 질의상 사업장은 주휴일 규정을 정하면서 1주라는 단위기간의 기산일을 입사일과 다르게 이미 특정한 경우로 특정된 단위기간의 소정근로일 모두를 개근하는 것이 충족되어야 유급주휴일을 부여할 수 있음에도 불구하고, 해당 사업장의 유급주휴일 발생의 전제인 1주 단위기간을 무시하고 입사일을 기산일로 하는 것은 새로운 단위기간을 임의로 설정하는 것이므로 해당 사업장의 규범을 무력화시키는 해석이라 할 것입니다. 

  - 또한 해당 사업장이 1주간 단위기간을 특정하고 단위기간 중에 유급주휴일을 부여해오고 있는 경우는 동 사업장의 모든 근로자가 이러한 사실을 인지하고 있습니다. 하지만, 특정 근로자가 단위기간 도중에 입, 퇴사해서 사업장의 규정인 단위기간규정을 무시하고 본인의 경우만 특별히 입사일을 기산점으로 단위기간을 재설정해서 유급주휴일을 부여해 달라고 요구하는 경우는 특혜를 요구하는 행위로 봐야 할 것입니다. 끝."
신고사건(감독),주휴수당 문의,2021-05-10 22:02:17.0,의견,2021-05-16 00:20:27.0,,,
신고사건(감독),주휴수당 문의,2021-05-10 22:02:17.0,1설을 뒷받침하는 고용노동부 행정해석을 첨부드립니다,2021-05-20 11:43:23.0,,,
신고사건(감독),공소시효 도과 여부,2021-05-11 09:55:48.0,"공소시효, 과태료시효...",2021-05-11 13:09:55.0,,,
신고사건(감독),근로기준법에 위반되는 근로계약서 작성 건 문의,2021-05-11 10:03:32.0,최저임금법위반,2021-05-11 11:16:02.0,,,
신고사건(감독),근로기준법에 위반되는 근로계약서 작성 건 문의,2021-05-11 10:03:32.0,근로계약...,2021-05-11 15:08:48.0,,,
신고사건(감독),"연장, 야간,휴일 수당 관련 질의드립니다.",2021-05-11 11:26:15.0,"연장,야간,휴일근로 등...",2021-05-11 13:20:53.0,,,
사업장감독(감독),범죄인지 전 진술서상체불금액과 범죄인지 후 피신당시 체불금액이 다를경우,2021-05-12 11:34:21.0,의견,2021-05-12 12:38:58.0,,,
사업장감독(감독),범죄인지 전 진술서상체불금액과 범죄인지 후 피신당시 체불금액이 다를경우,2021-05-12 11:34:21.0,범죄인지...,2021-05-12 14:15:19.0,2021-05-13 10:18:15.0,,"저도 이 의견에 동의하고, 피의자 신문을 할 때에 100만원의 산정근거, 90만원의 산정근거 등을 최대한 ""구체적""으로 진술 받으시면 판단하시게 수월하실겁니다."
신고사건(감독),사건 관할 관련 문의,2021-05-12 14:13:37.0,B매장 관할에서 처리하는 것이 맞다고 봅니다,2021-05-12 14:26:01.0,,,
신고사건(감독),사건 관할 관련 문의,2021-05-12 14:13:37.0,지침을 잘 살펴보면...,2021-05-12 14:52:55.0,,,
신고사건(감독),사건관할(재택근무),2021-05-12 17:37:23.0,의견,2021-05-13 07:33:25.0,,,
신고사건(감독),사건관할(재택근무),2021-05-12 17:37:23.0,관할...,2021-05-13 09:14:25.0,,,
신고사건(감독),직장내 성희롱 여부 여쭤봅니다..,2021-05-12 17:59:32.0,의견,2021-05-13 07:36:16.0,2021-05-13 09:42:22.0,,q
신고사건(감독),직장내 성희롱 여부 여쭤봅니다..,2021-05-12 17:59:32.0,직장내 성희롱 판단...,2021-05-13 10:22:51.0,,,
사업장감독(감독),외국인근로자에게 지급되는 식대를 통상임금 포함 여부 문의,2021-05-13 11:06:49.0,현행 통상임금산정지침....,2021-05-13 11:25:59.0,2021-06-02 13:33:26.0,,노사지도지침은 노동부예규가 아닙니다. 그냥 지도지침 입니다. 끝.
사업장감독(감독),외국인근로자에게 지급되는 식대를 통상임금 포함 여부 문의,2021-05-13 11:06:49.0,현행 통상임금산정지침....,2021-05-13 11:25:59.0,2021-05-18 10:59:51.0,,"아래와 같이 다르게 볼 수 있어 의견 남깁니다.
(제 판단에는 통상임금에 해당되는 것으로 보여집니다.) 
아래 참조입니다. 

<통상임금 노사 지도 지침, 2014.01.23. p11 발췌> 
' 명칭이 복리후생수당이라 하더라도 그 실질이 소정근로의 대가로서 정기성·일률성·고정성을 갖춘 경우에는 통상임금에 해당됨'"
신고사건(감독),격일제 연차수당 문의,2021-05-13 17:17:01.0,의견,2021-05-14 07:28:40.0,,,
신고사건(감독),격일제 연차수당 문의,2021-05-13 17:17:01.0,연차휴가미사용수당...,2021-05-14 08:27:23.0,,,
신고사건(감독),일용근로자(인력소속)의 퇴직금 문의,2021-05-14 09:30:03.0,일용직 퇴직금....,2021-05-14 10:04:30.0,,,
신고사건(감독),일용근로자(인력소속)의 퇴직금 문의,2021-05-14 09:30:03.0,의견,2021-05-14 10:09:34.0,,,
신고사건(감독),일용근로자(인력소속)의 퇴직금 문의,2021-05-14 09:30:03.0,사업장에서 지급책임,2021-05-14 11:34:50.0,,,
신고사건(감독),일용근로자의 퇴직금 문의,2021-05-14 15:16:47.0,일용직...,2021-05-14 17:56:56.0,,,
신고사건(감독),일용근로자의 퇴직금 문의,2021-05-14 15:16:47.0,의견,2021-05-16 01:11:12.0,,,
신고사건(감독),근로자성 판단에 대해서 질문드립니다,2021-05-16 16:26:15.0,의견,2021-05-17 07:37:12.0,,,
신고사건(감독),근로자성 판단에 대해서 질문드립니다,2021-05-16 16:26:15.0,"ㅇ 진정인이 받아야할 임금, 퇴직금을 모른다...",2021-05-17 09:02:50.0,,,
신고사건(감독),근로자성 판단에 대해서 질문드립니다,2021-05-16 16:26:15.0,의견,2021-05-17 15:21:17.0,,,
신고사건(감독),근로자성 판단에 대해서 질문드립니다,2021-05-16 16:26:15.0,형제,2021-05-18 08:39:38.0,2021-05-18 08:42:18.0,,근로자성 여부도 판단해 보시고 근로자로 근로하였다면 미지급 임금에 대해 서로 약정하지 않았다면 최저임금으로 산정하시면 될 듯 합니다.
신고사건(감독),근로계약서 미교부 진정 관련입니다.,2021-05-17 12:40:32.0,의견,2021-05-17 15:34:47.0,,,
신고사건(감독),근로계약서 미교부 진정 관련입니다.,2021-05-17 12:40:32.0,수개의 죄...,2021-05-17 15:46:52.0,,,
사업장감독(감독),별도의 사업장 상시근로자수 합산 여부,2021-05-18 16:10:32.0,의견,2021-05-19 17:17:16.0,,,
사업장감독(감독),별도의 사업장 상시근로자수 합산 여부,2021-05-18 16:10:32.0,의견,2021-05-20 16:44:11.0,,,
사업장감독(감독),별도의 사업장 상시근로자수 합산 여부,2021-05-18 16:10:32.0,사업 또는 사업장...,2021-05-25 14:22:02.0,,,
신고사건(감독),"직장내괴롭힘, 성희롱 관련 부당전보 불이익처우 관련",2021-05-18 21:08:38.0,의견,2021-05-18 21:45:24.0,,,
신고사건(감독),"직장내괴롭힘, 성희롱 관련 부당전보 불이익처우 관련",2021-05-18 21:08:38.0,"부당전보,,,,",2021-05-25 13:27:21.0,,,
신고사건(감독),"급여인상, 퇴직금 포함 다툼",2021-05-19 12:01:54.0,의견,2021-05-19 15:31:25.0,,,
신고사건(감독),"급여인상, 퇴직금 포함 다툼",2021-05-19 12:01:54.0,의견,2021-05-20 09:26:11.0,,,
신고사건(감독),"급여인상, 퇴직금 포함 다툼",2021-05-19 12:01:54.0,임금 속에 퇴직금 포함(실무적),2021-05-20 18:01:15.0,,,
신고사건(감독),"급여인상, 퇴직금 포함 다툼",2021-05-19 12:01:54.0,매월 지급받은 금품...,2021-05-25 13:02:10.0,,,
신고사건(감독),"퇴직금 15시간 미만, 일용직 퇴직금",2021-05-19 12:10:44.0,의견,2021-05-19 14:52:49.0,,,
신고사건(감독),"퇴직금 15시간 미만, 일용직 퇴직금",2021-05-19 12:10:44.0,소정근로시간...,2021-05-25 12:36:27.0,,,
신고사건(감독),근로계약서 미작성 및 미교부관련입니다.,2021-05-20 08:56:41.0,의견,2021-05-20 09:28:39.0,,,
신고사건(감독),근로계약서 미작성 및 미교부관련입니다.,2021-05-20 08:56:41.0,법 조 항,2021-05-20 11:12:38.0,,,
신고사건(감독),근로계약서 미작성 및 미교부관련입니다.,2021-05-20 08:56:41.0,쪼끔 생각을 해볼 사건인 것 같습니다,2021-05-21 09:04:51.0,,,
신고사건(감독),근로계약서 미작성 및 미교부관련입니다.,2021-05-20 08:56:41.0,의견,2021-05-21 10:42:16.0,,,
신고사건(감독),근로계약서 미작성 및 미교부관련입니다.,2021-05-20 08:56:41.0,근로계약서 작성 및 교부,2021-05-24 17:46:46.0,,,
신고사건(감독),정년도래 후 촉탁계약시 전 기간을 퇴직금 산정할 수 있는지 여부,2021-05-20 09:44:07.0,의견,2021-05-20 10:43:49.0,,,
신고사건(감독),정년도래 후 촉탁계약시 전 기간을 퇴직금 산정할 수 있는지 여부,2021-05-20 09:44:07.0,퇴직금 산정...,2021-05-24 17:33:04.0,,,
신고사건(감독),퇴직후의 사업장내 폭행,2021-05-20 09:54:24.0,의견,2021-05-20 10:53:19.0,,,
신고사건(감독),퇴직후의 사업장내 폭행,2021-05-20 09:54:24.0,의견,2021-05-21 14:36:13.0,,,
신고사건(감독),퇴직후의 사업장내 폭행,2021-05-20 09:54:24.0,폭행...,2021-05-24 16:54:27.0,,,
신고사건(감독),개인사업장의 사업주 성희롱 과태료부과,2021-05-20 11:42:29.0,의견,2021-05-20 12:09:36.0,,,
신고사건(감독),개인사업장의 사업주 성희롱 과태료부과,2021-05-20 11:42:29.0,과태료 부과...,2021-05-24 16:35:37.0,,,
신고사건(감독),영업직 렌트카 위약금 문제,2021-05-20 14:05:31.0,의견,2021-05-20 15:22:42.0,2021-05-24 14:46:54.0,,"1. 질의상 사용자가 근로자에게 위약금으로 200만원을 요구하는 행위에 대해서는 실제 근로계약 불이행에 대한 위약금을 예정하는 계약의 실체가 있었는지 제대로 살펴봐야 법위반 여부를 판단할 수 있습니다.

2. 따라서 근로계약 체결 시 불이행에 대한 위약금을 예정하는 계약의 실체가 확인되지 않는다면 귀 질의상 사용자의 위약금 200만원 요구는 근로자의 퇴직 이후에 회사의 손해에 따른 배상 등을 청구한 것으로 판단되어 법위반이라 볼 수 없습니다. 끝. "
신고사건(감독),오야지 사건관할 문의,2021-05-20 15:36:22.0,의견,2021-05-20 20:36:16.0,,,
신고사건(감독),오야지 사건관할 문의,2021-05-20 15:36:22.0,의견,2021-05-21 10:09:56.0,,,
신고사건(감독),오야지 사건관할 문의,2021-05-20 15:36:22.0,건설공사...,2021-05-24 14:18:37.0,,,
사업장감독(감독),사업장 동일성 여부,2021-05-20 17:22:29.0,의견,2021-05-20 21:24:25.0,,,
사업장감독(감독),사업장 동일성 여부,2021-05-20 17:22:29.0,근로계약...,2021-05-24 14:06:23.0,,,
신고사건(감독),법인 정관 65세정년에서 60세 정년 변경시,2021-05-20 17:23:37.0,의견,2021-05-20 19:39:39.0,2021-05-24 13:50:26.0,,"1. 회사 정관의 적용을 받는자라면 이는 법인의 이사 및 감사 등 임원에 해당하는 경우로 근로기준법상 근로자라 볼 여지가 없습니다.

2. 정관은 회사의 자치법규로 상법에 근거하여 작성되며, 노동관계법 적용을 받지 않습니다. 끝."
신고사건(감독),연차포괄 문의입니다,2021-05-20 17:23:40.0,연차 포괄 연봉계약,2021-05-20 19:28:31.0,,,
신고사건(감독),연차포괄 문의입니다,2021-05-20 17:23:40.0,의견,2021-05-21 07:23:52.0,,,
신고사건(감독),연차포괄 문의입니다,2021-05-20 17:23:40.0,포괄임금제...,2021-05-24 13:22:15.0,,,
신고사건(감독),대표자가 파견사업관리책임자가 될수 있나요,2021-05-21 10:31:36.0,.,2021-05-21 11:06:47.0,2021-05-24 11:26:36.0,,"1. 파견법상 파견사업관리책임자를 선임할 주체는 파견사업주입니다. 

2. 따라서 개인업체 대표가 파견사업주인 경우는 선임이 불가능하나, 파견사업주가 법인인 경우에는 법인 자체가 파견사업주이므로 법인의 임원도 파견사업관리책임자로 선임하는 것은 가능하다고 사료됩니다. 끝."
신고사건(감독),퇴직금 산정시 성과급 포함 여부입니다.,2021-05-21 16:45:58.0,의견,2021-05-23 04:12:45.0,,,
신고사건(감독),퇴직금 산정시 성과급 포함 여부입니다.,2021-05-21 16:45:58.0,평균임금 포함여부...,2021-05-24 11:07:41.0,,,
신고사건(감독),진정인 소속 관련,2021-05-22 13:52:53.0,의견,2021-05-23 04:15:36.0,,,
신고사건(감독),진정인 소속 관련,2021-05-22 13:52:53.0,진정인의 소속,2021-05-23 08:49:10.0,,,
신고사건(감독),진정인 소속 관련,2021-05-22 13:52:53.0,ㅇ 근로관계 변동...,2021-05-24 10:10:16.0,,,
신고사건(감독),퇴직금 중간정산 및 분할지급의 경우,2021-05-24 16:56:03.0,퇴직금 채권...,2021-05-24 17:12:21.0,,,
신고사건(감독),퇴직금 중간정산 및 분할지급의 경우,2021-05-24 16:56:03.0,의견,2021-05-24 20:46:30.0,,,
신고사건(감독),퇴직금 중간정산 및 분할지급의 경우,2021-05-24 16:56:03.0,사망한 형님의 퇴직금,2021-05-25 13:27:56.0,,,
신고사건(감독),해고 관련 문의드립니다.,2021-05-24 17:52:59.0,의견,2021-05-24 21:04:11.0,,,
신고사건(감독),해고 관련 문의드립니다.,2021-05-24 17:52:59.0,의견,2021-05-24 21:08:06.0,2021-05-25 11:06:54.0,,고견 감사합니다. 대법 94다17994 관련 사용자가 근로자의 희망퇴직일보다 퇴직일을 앞당기는 퇴사처리는 바로 효력을 발생할 수 없다고 판시하고 있는데 피신고인은 5.2.자에 사람이 구해지니까 인건비를 중복으로 내칠 일이 없으므로 신고인에게 나오지 말라고 하였다고 합니다. 내일부터 나오지 말라고 한 것이 해고 통보로 봐야 할지 아니면 권고사직으로 봐야할지요 신고인은 내일부터 나오지 않았습니다만.. 해고 통보에 대해 알겠다고 한것인지... 
신고사건(감독),해고 관련 문의드립니다.,2021-05-24 17:52:59.0,의견,2021-05-25 08:59:57.0,,,
신고사건(감독),해고 관련 문의드립니다.,2021-05-24 17:52:59.0,권고사직...,2021-05-25 09:08:08.0,,,
신고사건(감독),해고 관련 문의드립니다.,2021-05-24 17:52:59.0,개인적인 견해입니다.,2021-05-25 11:05:13.0,2021-05-25 12:57:47.0,,"답변 주셔서 감사합니다 ㅠ
대법판례 2018도 3039 판례검색이 안되어서 그런데 번호가 이것이 맞나요?
이레이버에도 확인이 안됩니다 ㅠㅠ"
신고사건(감독),해고 관련 문의드립니다.,2021-05-24 17:52:59.0,개인적인 견해입니다.,2021-05-25 11:05:13.0,2021-05-25 11:39:50.0,,"주제넘게 관련 노동위 사례에 대해 평가를 하자면, 해당 사례의 결과에는 동의하나(무효) 해고이고 서면통지를 하지 않아 무효가 아니라 의사합치가 이루어지지 않아 무효라고 보는게 타당하다고 생각합니다. 
나아가 노동위원회의 사례처럼 이를 해고로 본다고 하더라도 근로자가 특정한 사직일은 여전히 유효하기에 임금청구권은 사직일까지만 인정이 될테고, 대법원 94다17994의 의미를 (개인적으론)근로관계 종료의 효력발생일로 볼 수 있으며, 의정부지법 2017노3198 판결(상고기각 확정)에서 근로자가 먼저 사직의 의사표시를 한 이상 사용자가 '일방적'으로 해고를 했다고 볼 수 없는 점 등을 좀 고려하였고,
해고가 아니다 하더라도 근로자의 근로기대권 등을 보호할 필요성은 여전히 존재하기 때문에 민법538조(또는 휴업수당)를 적용할 수 있지 않을까 하는게 '개인적'인 생각입니다. 개인적인 생각 정도로만 이해해주시길 바랍니다. "
신고사건(감독),해고 관련 문의드립니다.,2021-05-24 17:52:59.0,개인적인 견해입니다.,2021-05-25 11:05:13.0,2021-05-25 11:23:39.0,,"아래 말씀 주신바와 같이 노동위원회에서 이와 유사한 사례를 해고로 본 경우가 있는 것으로 알고 있습니다. 그리고 대법원 94다17994의 판결내용은 해고이냐 아니냐를 판시한 부분이 아니라 '근로관계 종료의 효력발생일이 언제인가'에 대한 부분으로 이해해야 하는것이 아닌가 하는게 개인적 생각입니다. 그리고 사실관계의 문제일수도 있겠으나 유사한 형사사건에서 해고예고수당을 부정한 판결도 존재합니다(의정부지법 2017노3198 판결, 상고기각 확정). "
신고사건(감독),해고 관련 문의드립니다.,2021-05-24 17:52:59.0,개인적인 견해입니다.,2021-05-25 11:05:13.0,2021-05-25 11:09:22.0,,대법 94다17994판결 관련하여 희망퇴사일보다 퇴직일을 앞당기는 퇴사처리는 바로 효력을 발생할 수 없다고 하고 있고 서울지노위 서울 2014부해2727구제신청 심판례에도 따르면 근로자의 사직의사표시와 사용자의 퇴직처리가 불일치해 사직의사표시가 효력이 발생하기 어렵고 결국 근로관계 종료의 원인은 사용자의 일방적인 근로관계 종료통보에 의한 것이라고 판시하고 있는데 이 사안과 유사해 보여서 문의드립니다 
신고사건(감독),해고 관련 문의드립니다.,2021-05-24 17:52:59.0,개인적인 견해입니다.,2021-05-25 11:05:13.0,2021-05-25 11:05:29.0,,"위와 같은 이유로 적시된 사실관계만 기준으로 판단한다면,
①근로자가 퇴직금 청구권을 포기하면서까지 사용자와 조기 사직의 합의를 할 이유도 그러한 사정도 없었다고 한다면 근로관계 종료일은 근로자가 특정한 5월 14일이 되며, 5월 14일까지 실제 근로를 제공하지 못한 부분에 대한 임금청구권(또는 휴업수당 청구권)과 퇴직금 청구권은 여전히 보유하고 있다고 볼 수 있을 겁니다. 
②반면, 퇴직금을 지급받는 것보다 권고사직으로 실업급여를 받는 편이 더욱 이익이라 보고 실제로 사용자와 근로관계 조기 종료에 대한 합의를 한 사정이 있다면 실업급여 수급자격의 문제는 별론으로 하고 자진사직이 아닐까 싶습니다. "
신고사건(감독),해고 관련 문의드립니다.,2021-05-24 17:52:59.0,대법원 2018도3039(의정부지법 2017노3198의 상고심),2021-05-25 13:12:32.0,2021-05-31 18:02:05.0,,감사합니다 :) 좋은 자료 참고하겠습니다
신고사건(감독),해고 관련 문의드립니다.,2021-05-24 17:52:59.0,대법원 2018도3039(의정부지법 2017노3198의 상고심),2021-05-25 13:12:32.0,2021-05-25 13:20:42.0,,"감사합니다 사건 처리 하는데 도움이 많이 될 것 같습니다. 
즐거운 하루 되십시오^^"
신고사건(감독),연말정산환급금  관련입니다.,2021-05-24 18:02:43.0,의견,2021-05-24 21:10:17.0,,,
신고사건(감독),연말정산환급금  관련입니다.,2021-05-24 18:02:43.0,중도 퇴직자의 연말정산...,2021-05-25 11:19:39.0,,,
신고사건(감독),사건 문의 드립니다.,2021-05-24 19:24:53.0,의견,2021-05-24 21:27:50.0,2021-05-25 08:09:12.0,,"답변 빌려서 댓글로 나름의 의견을 남겨봅니다.
1. E가 근로자가 아니고 '오야지'로서 공사에 참여하고 금품을 받고, 신고인 5명에게 자신이 임금을 준 것이라면, E가 받지 못한 돈은 근로기준법으로 해결할 수 없으므로 C와 D에게 근로기준법 위반여부에 대한 책임을 물을 수 없는 것으로 보입니다.

2. 마찬가지로 E가 '오야지'로서 일을 한 것이라면 E는 근로자가 아니고 사용자이므로, E가 받지 못한 돈은 근로기준법으로 해결할 수 없습니다.

3. 신고인들이 E로부터 일당을 모두 받았고, 다른 현장에서도 E로부터 돈을 받는 형태로 일을 해온 것 등 E가 신고인들의 사용자로 확인되면, 신고인들의 사용자는 E가 되므로 E가 신고인들에게 일당을 주지 않았을 때 E에게 36조, 상위 도급업자들에게 44조 또는 44조의2를 적용해야합니다.

따라서 동 진정사건은 E의 근로자성 내지는 사용자성을 검토하고, E가 근로자가 아니고, 신고인들의 사용자라는 결론이 도출되면, C에 대해서는 법위반없음으로 처리하시면 될 듯 합니다."
신고사건(감독),사건 문의 드립니다.,2021-05-24 19:24:53.0,의견,2021-05-25 10:43:33.0,,,
신고사건(감독),사건 문의 드립니다.,2021-05-24 19:24:53.0,"사용자, 직상수급인(도급인),,,,,",2021-05-25 12:07:28.0,,,
신고사건(감독),퇴직금 관련 계속근로 인정 여부,2021-05-25 09:50:25.0,.,2021-05-25 11:21:42.0,,,
신고사건(감독),퇴직금 관련 계속근로 인정 여부,2021-05-25 09:50:25.0,계속 근로...,2021-05-25 11:42:41.0,,,
신고사건(감독),퇴직금 관련 계속근로 인정 여부,2021-05-25 09:50:25.0,의견,2021-05-25 13:46:15.0,,,
사업장감독(감독),주휴시간 문의,2021-05-25 10:45:43.0,.,2021-05-25 11:24:43.0,,,
사업장감독(감독),주휴시간 문의,2021-05-25 10:45:43.0,1일 소정근로시간...,2021-05-25 11:34:39.0,,,
사업장감독(감독),건축주의 사용자성,2021-05-25 13:21:36.0,의견,2021-05-25 13:41:53.0,,,
사업장감독(감독),건축주의 사용자성,2021-05-25 13:21:36.0,피진정인을 사용자라 보고 처리하시면 되겠습니다,2021-05-25 14:12:41.0,,,
사업장감독(감독),건축주의 사용자성,2021-05-25 13:21:36.0,근로관계....,2021-05-25 14:52:52.0,,,
신고사건(감독),아파트 관리사무소 경비(감시단속적근무) 근로자의 날,2021-05-25 15:29:37.0,의견,2021-05-25 16:15:29.0,,,
신고사건(감독),아파트 관리사무소 경비(감시단속적근무) 근로자의 날,2021-05-25 15:29:37.0,근로자의 날...,2021-05-25 16:55:47.0,,,
신고사건(감독),해고예고수당 적용이 되는지에 대해서 고견 여쭤보고 싶습니다.,2021-05-25 15:47:16.0,해고 성립 등...,2021-05-25 16:37:26.0,,,
신고사건(감독),해고예고수당 적용이 되는지에 대해서 고견 여쭤보고 싶습니다.,2021-05-25 15:47:16.0,의견,2021-05-26 17:14:34.0,,,
감독,아파트 관리사무소 경비(감시단속적근무) 근로자의 날 (다시 질문),2021-05-25 17:08:31.0,관련 지침...,2021-05-25 17:40:46.0,,,
신고사건(감독),무단퇴사 시 범죄일은 언제로 보는지,2021-05-26 16:03:07.0,의견,2021-05-26 17:21:33.0,2021-05-26 17:23:48.0,,"아, 그리고 입사 당일의 다음날이 최종 퇴사일로 확정된다면 다음날부터 14일 이후가 범죄일자가 될 것으로 보입니다. "
신고사건(감독),무단퇴사 시 범죄일은 언제로 보는지,2021-05-26 16:03:07.0,의견,2021-05-26 19:10:17.0,,,
신고사건(감독),무단퇴사 시 범죄일은 언제로 보는지,2021-05-26 16:03:07.0,36조 위반 범죄발생일...,2021-05-27 09:26:45.0,,,
신고사건(감독),무단퇴사 시 범죄일은 언제로 보는지,2021-05-26 16:03:07.0,의견,2021-05-31 12:46:45.0,,,
신고사건(감독),연차미사용수당 대체 합의,2021-05-26 18:51:47.0,의견,2021-05-26 19:19:10.0,,,
신고사건(감독),연차미사용수당 대체 합의,2021-05-26 18:51:47.0,동일 사업장의 취업규칙....,2021-05-27 09:00:06.0,,,
신고사건(감독),단속적 근로종사자 관련 문의드립니다.,2021-05-27 13:22:14.0,근로시간 및 휴게시간...,2021-05-27 15:45:24.0,,,
신고사건(감독),편의점 채용 전 교육비 근로기준법 적용 여부,2021-05-27 14:17:11.0,채용전 교육 등...,2021-05-27 15:52:55.0,,,
신고사건(감독),편의점 채용 전 교육비 근로기준법 적용 여부,2021-05-27 14:17:11.0,의견,2021-06-01 14:00:29.0,,,
